Name,Best Weather,Traveler Type,Activity Type,Longitude,Latitude,Description,Historic Term
Sigiriya Rock,"January, February, March, April","Adventure Seekers, Photographers, Art Lovers","Hiking/Trekking, Photography, Sightseeing",7.9570° N,80.7603° E,"Amazingly, we squeezed in seven different UNESCO World Heritage Sites during our two-week trip to Sri Lanka. Even as a traveler who often purposefully seeks them out, their density on this island was remarkable. Most concentrate around the royal city of Kandy. The term ""Cultural Triangle"" was coined to denote the popular tourist routes. The three corners of the triangle are Kandy's Temple of Sacred Tooth, the Sacred City of Anuradhapura, and the Ancient City of Polonnaruwa. All three cities are about two hours apart from one another. Right at the center of this triangle are two additional sites: the Fortress of Sigiriya and the Golden Temple of Dambulla.","According to the legend and historical records, Sigiriya was inhabited in pre-historic times. Perhaps not surprisingly, the unworldly geography of this place has been attractive to many through the millennium. It is known that Buddhist monks occupied part of Sigiriya as early as the 3rd century B.C.E. But what made Sigiriya what it is was the works of King Kashyapa I of Anuradhapura. Why this precarious location, you might ask? In the middle of the fifth century, King Kashyapa, an illegitimate child, actually ascended to the throne after the violent overthrow of his father. Fearing the reprisal from the legitimate heir, who had fled to southern India, King Kashyapa took up the residence at the much more defensible Sigiriya. Much of the ruins we see nowadays were built during his 22-year reign. Ironically, the king met his fateful end on the battlefield against the legitimate half-brother, the future King Moggallana I."
Yala National Park,"December, January, February, March, April","Wildlife Enthusiasts, Birdwatchers, Photographers","Wildlife Safaris, Birdwatching, Jeep Safaris",6.4640° N,81.4719° E,"Yala National Park, Sri Lanka’s premier wildlife reserve, spans 979 square kilometers and is renowned for its high leopard density, diverse ecosystems, and over 200 bird species. A UNESCO Biosphere Reserve, it offers thrilling jeep safaris to spot elephants, sloth bears, and crocodiles.","Established as a wildlife sanctuary in 1900 and declared a national park in 1938, Yala has a rich history of conservation and ecotourism"
Galle Fort,All Year,"Cultural Tourists, Foodies, Shoppers","Exploring Colonial Architecture, Shopping, Dining",6.0305° N,80.2150° E,"The Galle Fort is the largest remaining fortress in Asia constructed by any European imperial powers. Also known as Dutch Fort or Ramparts of Galle, this architectural and archaeological wonder was first built in 1588 by the Portuguese and lavishly rebuilt by the Dutch during the 17th century. Even after long years from the construction, Galle Fort, a UNESCO's World Heritage Site, is still maintained as fresh. Galle is a major coastal town in the southwest of Sri Lanka and is the finest instance of a fortified city constructed by the Portuguese in Southeast Asia.The Galle Fort is the largest remaining fortress in Asia constructed by any European imperial powers. Also known as Dutch Fort or Ramparts of Galle, this architectural and archaeological wonder was first built in 1588 by the Portuguese and lavishly rebuilt by the Dutch during the 17th century. Even after long years from the construction, Galle Fort, a UNESCO's World Heritage Site, is still maintained as fresh. Galle is a major coastal town in the southwest of Sri Lanka and is the finest instance of a fortified city constructed by the Portuguese in Southeast Asia.Looking like a miniature walled town, Galle Dutch Fort comes with streets of rectangular pattern, well laid out road system and low houses constructed in the Dutch colonial style with gables and verandas. The fort is home to a plethora of historically relevant infrastructures like churches, mosques, and commercial buildings. The sewage system inside the fort really bears a wow-factor with a well-envisaged flushing mechanism that works with the tidal cycle.To name a few of important heritage monuments in the Galle Dutch Fort are; the Dutch Reformed Church with a belfry, the old dutch hospital, the old Dutch government house, the Great Warehouse, the Residence of the Commander, the Meera Mosque, a Buddhist temple, the All Saints Anglican Church, the Clock Tower, and the Galle Lighthouse.","Credits of current Galle Fort goes to Dutch East India Company who built the fort in Galle in 1663 as a means to defend against the Portuguese and fortified the city on a large scale during the 17th century. They set up a solid granite wall and three bastions, named Sun, Moon, and Star. After the seizure the Galle's control in 1796, the fort fell into the hands of the British who preserved the fort as is. Now the fort is the administrative center of Galle district."
Temple of the Tooth,All Year,"Cultural Tourists, History Buffs","Religious Rituals, Sightseeing",7.2936° N,80.6413° E,"The Temple of the Tooth in Kandy, a UNESCO World Heritage Site, houses the sacred tooth relic of Lord Buddha. A major pilgrimage site, it features intricate Kandyan architecture and hosts the annual Esala Perahera festival.",Historic Term
Ella,"November,December,January,February,March","Nature Lovers, Photographers, Train Enthusiasts","Train Rides, Hiking/Trekking, Photography",6.8667° N,81.0466° E,"Climb up to the sky and stand suspended over the white clouds enjoying the beauty of scenic Sri Lankan highlands. Regarded as the world's best walks, Ella Rock is a superb hiking spot in Ella with stunning views of magnificently vegetated hillsides. The trekking trial of Ella Rock is quite interesting with its challenging existence and unmatched scenery. Ella is a beautiful highland town in the south of Sri Lanka and is the proper destination If you are into the hillside beauty of the country. The train journey to Ella to Kandy is considered to be the best train experience in the world.If you are visiting Sri Lanka, roaming around Ella is a mandatory thing to experience. Ella is a small place with superb natural beauty located amidst the scenic highlands of the country. The city simply consists of a railway station, the main road, and various guesthouses. The forest is dense and the scenery is stunning. There are waterfalls, tea plantations and various other tourist spots to explore in Ella. The Ella Rock is quite magnificent with an adventurous trekking trail through vegetation and rocks. The summit of the rock is blessed with panoramic views over the nearby hillsides.",Historic Term
Mirissa Beach,"December,January,February,March","Wildlife Watchers, Relaxation Seekers","Whale Watching, Surfing, Yoga/Spa",5.9447° N,80.4592° E,"Mirissa Beach, a crescent-shaped coastal gem in southern Sri Lanka, is famous for its golden sands, vibrant nightlife, and world-class whale-watching tours. Ideal for surfing, snorkeling, and relaxation","Mirissa evolved from a quiet fishing village to a global tourist destination in the late 20th century, with whale-watching tours gaining prominence since the 2000s"
Horton Plains National Park,"December,January,February,March","Nature Lovers, Hikers, Wildlife Enthusiasts","Hiking/Trekking, Wildlife Spotting, Picnicking",6.8094° N,80.8023° E,Horton Plains National Park,Historic Term
Pinnawala Elephant Orphanage,"April,May,June,July,August,September","Animal Lovers, Families, Educational Tourists","Watching Elephant Bathing, Feeding Elephants, Educational Tours",7.3009° N,80.3889° E,Pinnawala Elephant Orphanage,Historic Term
Anuradhapura,All Year,"History Enthusiasts, Archaeology Enthusiasts, Pilgrims","Cycling, Photography, Religious Visits",8.3114° N,80.4037° E,"Anuradhapura is the most prominent historical city in Sri Lanka with a rich past of wars and migrations showcasing a vast collection of architectural and archeological wonders that spread over about 50 hectares of land. Being one of the ancient capitals of the country, Anuradhapura has been listed as UNESCO World Heritage Site for its city-ful well-preserved ruins and relics that portrays the vibrant antique Sinhala civilization and dynasties. Here you have various monuments and temples to visit and wild reserves to explore.Being one of the most evocative sights in South Asia, here at Anuradhapura, the visual feast of historical monuments and ancient relics are replenished everywhere ranging from enormous brick stupas to crumbling temples and ancient pools. Some of the best tourist sites at Anuradhapura are Mihintale, Ruwanwelisaya, Ritigala Forest Monastery, Jaya Sri Maha Bodhi, Isurumuniya Temple, Jethawanaramaya Stupa, Abhayagiri Dagaba, Sri Maha Bodhi Temple, Ranmasu Uyana, Vessagiriya Ruins, Moonstone or Sandakada Pahana, Samadhi Statue, Twin Baths, Dagoba of Thuparama, Thanthirimale Rajamaha Viharaya, Nellikulama Temple (all sacred religious sites), Gal Palama the stone bridge, Isinbassagala, Wilpattu National Park, and Kalu Diya Pokuna, the natural black water pond.","Being the first capital of the country, Anuradhapura, according to the historical evidence, was established by Pandukabhaya in 4th century BC, although the archeological entities of the region date back to the 10th century BC only. The rise of the city began with the advent of Buddhism back in 3rd Century BC to the region and Anuradhapura became the cradle of the religion consequently. Anuradhapura. Known as one of the oldest cities in the world continuously inhabited, Anuradhapura was first occupied by Anuradha, one of the followers of Prince Vijaya who was the founder of Sinhala race."
