Event_ID,Event_Type,Venue_Name,Venue_Type,Location,Capacity,Budget_Range,Guest_Count,Amenities,Availability,Theme,Special_Requirements,User_Rating
1,Seminar,Srilankan Tented Camp,Restaurant,Batticaloa,226,LKR 352585,133,"AV Equipment, Parking, Restrooms, Catering Services, Sound System, Projector",Not Available,Outdoor,None,2.8
2,Corporate Event,Cinnamon Grand Colombo,Restaurant,Jaffna,221,LKR 232756,185,"Restrooms, AV Equipment, Catering Services",Not Available,Cultural,None,3.3
3,Conference,Dambulla Heritage Resort,Cultural Center,Batticaloa,289,LKR 488882,53,"Parking, Wi-Fi, Sound System, Restrooms, AV Equipment, Projector, Outdoor Space, Catering Services",Available,Cultural,Pet-Friendly,4.4
4,Party,Jetwing Beach,Banquet Hall,Anuradhapura,151,LKR 367682,253,"Restrooms, Wi-Fi",Available,Casual,Accessible,4.6
5,Birthday Party,The Blue Water,Conference Center,Negombo,171,LKR 318081,91,"Catering Services, AV Equipment, Projector, Sound System",Not Available,Formal,Pet-Friendly,3.7
6,Conference,The Grand Hotel Nuwara Eliya,Hotel,Anuradhapura,198,LKR 462040,116,"Sound System, Catering Services, AV Equipment, Parking, Restrooms, Wi-Fi, Outdoor Space",Available,Formal,Accessible,3.9
7,Seminar,Anantaya Resorts & Spa,Cultural Center,Colombo,96,LKR 314104,215,"Sound System, Outdoor Space, Parking, Restrooms, Catering Services, AV Equipment, Projector",Available,Outdoor,Pet-Friendly,2.8
8,Exhibition,Kandalama Hotel,Outdoor Space,Jaffna,275,LKR 286822,73,"Restrooms, Parking",Available,Beach,None,2.7
9,Wedding,Cinnamon Bey Beruwala,Restaurant,Batticaloa,149,LKR 239450,159,"Sound System, Catering Services, Restrooms, Outdoor Space, AV Equipment",Not Available,Outdoor,Pet-Friendly,3.2
10,Seminar,Club Koggala Village,Hotel,Nuwara Eliya,364,LKR 415046,198,"Restrooms, Sound System, Outdoor Space",Available,Formal,Accessible,3.8
11,Conference,Dambulla Heritage Resort,Banquet Hall,Nuwara Eliya,179,LKR 235678,60,"Restrooms, AV Equipment, Projector, Outdoor Space",Not Available,Casual,Accessible,2.8
12,Party,Hikkaduwa Beach Resort,Outdoor Space,Colombo,462,LKR 282221,268,Sound System,Not Available,Casual,Pet-Friendly,3.7
13,Birthday Party,Hotel Elephant Park,Hotel,Dambulla,341,LKR 164288,221,"Wi-Fi, Restrooms",Available,Beach,None,3.1
14,Corporate Event,Hikka Tranz,Outdoor Space,Kandy,446,LKR 161093,192,"Outdoor Space, Restrooms, Parking",Not Available,Cultural,Pet-Friendly,3.3
15,Seminar,Tamarind Tree Hotel,Restaurant,Galle,221,LKR 477518,243,"Sound System, Catering Services, Wi-Fi, Outdoor Space, AV Equipment",Available,Beach,Pet-Friendly,4.4
16,Exhibition,The Islander,Hotel,Dambulla,154,LKR 434762,291,"Catering Services, Projector, Wi-Fi, Restrooms, Outdoor Space",Not Available,Beach,None,4.1
17,Birthday Party,Sierra Beach Hotel,Beach Resort,Anuradhapura,142,LKR 449809,270,"Catering Services, Wi-Fi, Sound System, Outdoor Space, AV Equipment",Available,Beach,None,3.7
18,Wedding,Ceylon Tea Museum,Banquet Hall,Batticaloa,407,LKR 466530,246,"Outdoor Space, AV Equipment, Wi-Fi, Parking",Available,Cultural,Accessible,2.5
19,Wedding,Weligama Bay Marriott Resort & Spa,Outdoor Space,Dambulla,79,LKR 72078,158,Parking,Available,Outdoor,None,3
20,Party,Ozo Colombo,Beach Resort,Anuradhapura,336,LKR 58753,77,"Wi-Fi, Catering Services, AV Equipment",Not Available,Beach,None,4
21,Wedding,Nuwara Eliya Golf Club,Cultural Center,Galle,318,LKR 68540,145,"Projector, Parking, AV Equipment, Sound System, Outdoor Space, Wi-Fi, Restrooms",Not Available,Cultural,None,3.6
22,Exhibition,Thalpe Beach,Restaurant,Jaffna,386,LKR 325319,258,"Outdoor Space, Sound System, Catering Services, Restrooms",Available,Beach,None,3.4
23,Corporate Event,Mirissa Water Sports,Banquet Hall,Negombo,275,LKR 327677,123,"Projector, Parking, Wi-Fi, Sound System, AV Equipment, Catering Services",Not Available,Cultural,Pet-Friendly,4.8
24,Corporate Event,Srilankan Tented Camp,Hotel,Galle,356,LKR 216508,51,"Wi-Fi, Sound System, Catering Services, Projector, Parking",Available,Outdoor,Accessible,3.3
25,Exhibition,Red Rock Villa,Outdoor Space,Batticaloa,78,LKR 375207,87,"Catering Services, Restrooms, Sound System, Wi-Fi",Available,Outdoor,None,3.4
26,Birthday Party,Mahaweli Reach,Conference Center,Batticaloa,388,LKR 366476,221,"Wi-Fi, Catering Services, AV Equipment, Outdoor Space, Sound System, Projector",Not Available,Formal,Pet-Friendly,3
27,Seminar,The Kingsbury,Conference Center,Colombo,54,LKR 480862,111,"Projector, Restrooms, Catering Services",Available,Formal,None,3.5
28,Conference,Rangala House,Banquet Hall,Trincomalee,120,LKR 201147,169,"Projector, AV Equipment, Outdoor Space, Wi-Fi, Parking, Sound System, Restrooms, Catering Services",Not Available,Formal,Pet-Friendly,4.1
29,Party,Villa Araliya,Banquet Hall,Anuradhapura,363,LKR 263732,90,"Outdoor Space, Restrooms, AV Equipment, Sound System, Parking, Projector, Catering Services",Not Available,Cultural,Accessible,4.6
30,Exhibition,Sierra Beach Hotel,Beach Resort,Nuwara Eliya,169,LKR 304978,300,"Outdoor Space, Catering Services, Restrooms",Not Available,Formal,None,4
31,Conference,Dambulla Heritage Resort,Beach Resort,Dambulla,59,LKR 469070,228,"Outdoor Space, Restrooms, AV Equipment, Projector, Wi-Fi",Available,Cultural,Accessible,3
32,Exhibition,Hotel Nilaveli,Cultural Center,Colombo,297,LKR 218637,194,"Catering Services, Wi-Fi, Restrooms, Parking",Available,Formal,Pet-Friendly,4.1
33,Wedding,Club Koggala Village,Conference Center,Nuwara Eliya,466,LKR 373989,285,"Outdoor Space, Parking, Projector, AV Equipment, Sound System",Available,Beach,None,2.9
34,Exhibition,Haritha Villas & Resorts,Outdoor Space,Batticaloa,294,LKR 116197,232,"Restrooms, Projector, Catering Services, AV Equipment, Outdoor Space, Wi-Fi",Not Available,Outdoor,None,4.3
